assists,camp,cluster,deaths,duration,engine,game_mode,gold_per_min,hero_id,hours_to_now,is_win,kills,last_hits,league_name,leagueid,lobby_type,match_id,player_name,radiant_win,start_time,team_id,team_name,team_tag,xp_per_min
6,radiant,223,10,2187,1,2,391,48,4148.62880008556,False,2,234,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,rtz,False,1527904873,39,Evil Geniuses,EG,403
5,radiant,223,10,2187,1,2,266,30,4148.62880008556,False,4,33,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,Fly,False,1527904873,39,Evil Geniuses,EG,302
6,radiant,223,10,2187,1,2,267,104,4148.62880008556,False,0,123,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,s4,False,1527904873,39,Evil Geniuses,EG,305
3,radiant,223,7,2187,1,2,240,16,4148.62880008556,False,1,85,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,Cr1t-,False,1527904873,39,Evil Geniuses,EG,321
13,dire,223,3,2187,1,2,768,72,4148.62880008556,True,26,292,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,Paparazi灬,False,1527904873,726228,Vici Gaming,VG,742
20,dire,223,2,2187,1,2,391,26,4148.62880008556,True,3,66,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,LaNm,False,1527904873,726228,Vici Gaming,VG,578
30,dire,223,2,2187,1,2,382,62,4148.62880008556,True,4,35,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,Fenrir,False,1527904873,726228,Vici Gaming,VG,514
25,dire,223,2,2187,1,2,623,106,4148.62880008556,True,9,269,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,Ori,False,1527904873,726228,Vici Gaming,VG,782
24,dire,223,2,2187,1,2,430,65,4148.62880008556,True,6,136,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,old eLeVeN,False,1527904873,726228,Vici Gaming,VG,628
5,radiant,223,11,2187,1,2,402,52,4148.62880008556,False,4,196,CHINA DOTA2 SUPER MAJOR,9943,1,3927969700,SumaiL,False,1527904873,39,Evil Geniuses,EG,428
5,dire,223,5,1835,1,2,427,43,4148.61713341889,False,9,132,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,MATUMBAMAN,True,1527904915,2163,Team Liquid,Liquid,512
6,dire,223,6,1835,1,2,568,46,4148.61713341889,False,3,295,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,Miracle-,True,1527904915,2163,Team Liquid,Liquid,528
8,dire,223,7,1835,1,2,361,38,4148.61713341889,False,2,138,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,MinD_ContRoL,True,1527904915,2163,Team Liquid,Liquid,346
7,dire,223,10,1835,1,2,211,85,4148.61713341889,False,3,23,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,KuroKy,True,1527904915,2163,Team Liquid,Liquid,269
18,radiant,223,5,1835,1,2,439,64,4148.61713341889,True,3,168,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,G,True,1527904915,2621843,Team. Spirit,TSpirit,597
16,radiant,223,4,1835,1,2,328,21,4148.61713341889,True,6,58,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,Biver,True,1527904915,2621843,Team. Spirit,TSpirit,450
18,radiant,223,2,1835,1,2,396,28,4148.61713341889,True,6,95,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,DkPhobos,True,1527904915,2621843,Team. Spirit,TSpirit,545
9,radiant,223,3,1835,1,2,637,93,4148.61713341889,True,16,221,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,Illidan Stormrage SF46,True,1527904915,2621843,Team. Spirit,TSpirit,766
19,radiant,223,6,1835,1,2,310,37,4148.61713341889,True,6,47,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,Fng,True,1527904915,2621843,Team. Spirit,TSpirit,509
7,dire,223,9,1835,1,2,229,26,4148.61713341889,False,2,28,CHINA DOTA2 SUPER MAJOR,9943,1,3927970381,Gh,True,1527904915,2163,Team Liquid,Liquid,276
6,dire,223,4,1762,1,2,469,39,4148.61241119667,False,5,177,CHINA DOTA2 SUPER MAJOR,9943,1,3927970658,Dendi,True,1527904932,36,Natus Vincere,Na`Vi,495
15,radiant,223,3,1762,1,2,288,51,4148.61241119667,True,2,55,CHINA DOTA2 SUPER MAJOR,9943,1,3927970658,kaka,True,1527904932,1375614,Newbee,Newbee,318
8,radiant,223,2,1762,1,2,585,25,4148.61241119667,True,2,243,CHINA DOTA2 SUPER MAJOR,9943,1,3927970658,Sccc,True,1527904932,1375614,Newbee,Newbee,591
6,radiant,223,2,1762,1,2,777,48,4148.61241119667,True,8,355,CHINA DOTA2 SUPER MAJOR,9943,1,3927970658,Moogy,True,1527904932,1375614,Newbee,Newbee,758
6,radiant,223,3,1762,1,2,263,3,4148.61241119667,True,4,26,CHINA DOTA2 SUPER MAJOR,9943,1,3927970658,Faith,True,1527904932,1375614,Newbee,Newbee,243
8,radiant,223,3,1762,1,2,426,57,4148.61241119667,True,5,119,CHINA DOTA2 SUPER MAJOR,9943,1,3927970658,kpii,True,1527904932,1375614,Newbee,Newbee,445
4,dire,223,5,1762,1,2,291,30,4148.61241119667,False,6,53,CHINA DOTA2 SUPER MAJOR,9943,1,3927970658,Lil,True,1527904932,36,Natus Vincere,Na`Vi,338
